app,hosts,bu,criticality,env
COM-5372,"[""HOST-3A9A279142616F83"",""HOST-9BE606B69CCEF737"",""HOST-CAB2E7827B305A3F"",""HOST-8E2E5025A61025EA""]",Adv Tech & Ent Sol,Low,PRD
COM-5668,"[""HOST-A12DC8FD355DD973""]",Crop,Low,PRD
COM-5670,"[""HOST-4920782DD5D374A3"",""HOST-42F6B9821A78C1C2"",""HOST-C473C593ED576C76"",""HOST-7BD02EA0A943B11A"",""HOST-AB6E58CB56797FA3"",""HOST-03F70C295DD2FB3F"",""HOST-5FBA5485B76A0ADB"",""HOST-63297E641A5CE3ED"",""HOST-0CA0B98A257C58ED"",""HOST-A2D745DD54F5FFE6"",""HOST-E65C6CD636B4014E"",""HOST-BBD1C104D1329250""]",IT Infrastructure & Operations,Low,PRD
COM-5893,"[""HOST-5BEDA3156574B8AB"",""HOST-30396A735D69775D"",""HOST-0090B8B440001E79"",""HOST-43DFD00CAAB4CF51"",""HOST-5E9FB7747712E575""]",Crop,Low,PRD
COM-5896,"[""HOST-6F1734C70BBFD48F"",""HOST-6151FB9AC8DF1B07""]",null,null,PRD
COM-5899,"[""HOST-CDFBB5397173A86F"",""HOST-35F260EF061FBF8B"",""HOST-1BC1F17014443BA0"",""HOST-1A4D350EE930609F"",""HOST-4EA1727DAF7D80C2"",""HOST-5261CCD7B43B1030"",""HOST-8F255AF10FF7A6D2"",""HOST-038410F0F478A8B0"",""HOST-142B4C086173B6AA"",""HOST-8C331C4345BA892B""]",Crop,Low,PRD
COM-5901,"[""HOST-30FB664B2FE783F1"",""HOST-E08209F1D14CCE3B""]",Crop,Low,PRD
COM-5904,"[""HOST-4B8F5110D9246326"",""HOST-78E839FC040274A2"",""HOST-C27B0FEE80258A03"",""HOST-339762DE08DF978F"",""HOST-CC55C75F7C01B966""]",Crop,Low,PRD
COM-5922,"[""HOST-071F5F3D1CE386AA"",""HOST-9FF1E686276A2143"",""HOST-0C5EBF7AFA5E8647""]",null,null,PRD
COM-5923,"[""HOST-80B37C2D7DE1EF84"",""HOST-DE5807715ED59EED""]",null,null,PRD
COM-6102,"[""HOST-2AD9D8593C199C3D"",""HOST-89793BA1DB606050""]",Data Mgmt,Low,PRD
COM-6105,"[""HOST-A8D338CDD96999FE"",""HOST-F7058BF96C43C4F4"",""HOST-A260E6894CC792F1"",""HOST-D65D6A526D37F563"",""HOST-0858A7758A35CC2E""]",Adv Tech & Ent Sol,Low,PRD
COM-6358,"[""HOST-4BADFB372FF90869"",""HOST-F30800FA6E318D3A"",""HOST-C2D0A6B2BC1C4C59"",""HOST-FE27AE374E415FF9"",""HOST-3339E6F4674A285B"",""HOST-824CCB6F1937251D"",""HOST-FD48CD15CA5740AB"",""HOST-A33B959D13DDBD85"",""HOST-B513CF5B3A411A11"",""HOST-C2A9A7D8031BDD91"",""HOST-CA58EC76DF2A7B63"",""HOST-01AF2DA70CB422D3""]",Adv Tech & Ent Sol,Low,PRD
COM-6359,"[""HOST-0D36D944918FF253"",""HOST-5A74DBFD32C65033"",""HOST-51B23CB1D955B3EE"",""HOST-4CA9DAAFBD34F648""]",IT Infrastructure & Operations,Low,PRD
COM-6458,"[""HOST-5B4D2769C39CA03F""]",null,null,PRD
COM-6459,"[""HOST-A8B76193D0F84502""]",null,null,PRD
COM-6902,"[""HOST-D864F58F722ADA0A""]",Crop,Low,PRD
COM-6916,"[""HOST-2A8163FE685CA7DB""]",Claims & SAP,Low,PRD
COM-6934,"[""HOST-1E5158E0DE2AE2A4"",""HOST-93DC4C9A1629C6AF""]",Claims & SAP,Low,PRD
COM-7765,"[""HOST-45A374EEC27A3640"",""HOST-C734DF4ECC30042B"",""HOST-33B6E086C9EC7F85"",""HOST-64C91C498B0178E9"",""HOST-AAAA69B2F01DA61A"",""HOST-2A6AC806458F08DF"",""HOST-A37FE8671AA66A8F"",""HOST-CC2CA2510522168B""]",null,null,PRD
COM-8110,"[""HOST-7A5D376C21F55D42""]",IT Infrastructure & Operations,Low,PRD
COM-8111,"[""HOST-589D64481D9461E0"",""HOST-D86056B1D51DF01F"",""HOST-5DA6CA9CFF2D5C95"",""HOST-DC9ADC12501ED324"",""HOST-295D7B435E144314""]",IT Infrastructure & Operations,Low,PRD
COM-8137,"[""HOST-B12E290D435B6006"",""HOST-D735E6627D60D78F"",""HOST-1C2C37581FCACA4D""]",IT Infrastructure & Operations,Low,PRD
COM-8150,"[""HOST-5E198F2A8BE35B32"",""HOST-AFA99CBC57A70B22"",""HOST-75324B9CDBDCB00F"",""HOST-3C631708A7A73053"",""HOST-4010826E690F5E26"",""HOST-9D66596C094A86EF"",""HOST-E7DA5914FC63B5E2"",""HOST-8555024B86CB561A"",""HOST-5F0F02E1ACBD08E6"",""HOST-BDD31EC7CD6406AC"",""HOST-758D6701CC5706E0"",""HOST-1D2C43B33C0E0A2B"",""HOST-206BBEDC1C95DB05"",""HOST-00427C9F084BEE79"",""HOST-B8B993EB42EA854D"",""HOST-1ACBAC3C239A3A21"",""HOST-2741579CB0F28FBB"",""HOST-B15F48D9A9CD0D15"",""HOST-2D9747B89AF360F9""]",Crop,Low,PRD
COM-8256,"[""HOST-F83725184912189A""]",Data Mgmt,Low,PRD
